feature,abs(w*x),w*x,x,w
the ,0.312819373,0.312819373,32,0.009775605
to ,0.211508554,-0.211508554,17,-0.01244168
is ,0.151521884,0.151521884,22,0.006887358
he ,0.150855365,0.150855365,7,0.021550766
of ,0.138635859,0.138635859,12,0.011552988
on ,0.129971118,-0.129971118,5,-0.025994224
arnold ,0.106642968,-0.106642968,6,-0.017773828
and ,0.10131082,0.10131082,19,0.005332148
about ,0.099977783,-0.099977783,6,-0.016662964
or ,0.085980893,-0.085980893,3,-0.028660298
a ,0.083981337,-0.083981337,18,-0.00466563
if ,0.065318818,-0.065318818,2,-0.032659409
so ,0.063319262,-0.063319262,3,-0.021106421
we ,0.06309709,0.06309709,4,0.015774272
film ,0.062208398,-0.062208398,8,-0.00777605
never ,0.053988003,-0.053988003,3,-0.017996001
any ,0.049322373,-0.049322373,2,-0.024661186
then ,0.046656299,-0.046656299,2,-0.023328149
4,0.046211953,-0.046211953,4,-0.011552988
obvious ,0.045767607,-0.045767607,2,-0.022883804
know ,0.043101533,-0.043101533,2,-0.021550766
world ,0.039324595,0.039324595,1,0.039324595
could ,0.039102422,-0.039102422,2,-0.019551211
war ,0.037325039,0.037325039,4,0.00933126
his ,0.035547656,-0.035547656,8,-0.004443457
very ,0.033992446,0.033992446,1,0.033992446
script ,0.032215063,-0.032215063,1,-0.032215063
great ,0.031326372,0.031326372,1,0.031326372
as ,0.031104199,0.031104199,2,0.0155521
more ,0.030659853,0.030659853,2,0.015329927
see ,0.027993779,0.027993779,1,0.027993779
play ,0.027993779,-0.027993779,2,-0.01399689
best ,0.027993779,0.027993779,1,0.027993779
at ,0.027549433,-0.027549433,2,-0.013774717
all ,0.027105088,-0.027105088,1,-0.027105088
looks ,0.026216396,-0.026216396,1,-0.026216396
especially ,0.025772051,0.025772051,1,0.025772051
what ,0.025327705,-0.025327705,3,-0.008442568
no ,0.025105532,-0.025105532,1,-0.025105532
films ,0.024883359,0.024883359,2,0.01244168
make ,0.024439014,-0.024439014,1,-0.024439014
most ,0.024216841,0.024216841,1,0.024216841
but ,0.023994668,0.023994668,3,0.007998223
should ,0.023550322,-0.023550322,1,-0.023550322
over ,0.021772939,-0.021772939,2,-0.01088647
audience ,0.021328594,-0.021328594,1,-0.021328594
some ,0.021106421,-0.021106421,1,-0.021106421
high ,0.019551211,-0.019551211,2,-0.009775605
against ,0.019551211,0.019551211,2,0.009775605
there ,0.019329038,-0.019329038,3,-0.006443013
this ,0.017996001,-0.017996001,3,-0.005998667
not ,0.017773828,0.017773828,4,0.004443457
it ,0.017329482,0.017329482,6,0.002888247
many ,0.017107309,0.017107309,1,0.017107309
they ,0.016885137,0.016885137,1,0.016885137
much ,0.016662964,0.016662964,3,0.005554321
getting ,0.016440791,0.016440791,2,0.008220395
did ,0.015774272,-0.015774272,1,-0.015774272
members ,0.0155521,-0.0155521,2,-0.00777605
one ,0.015329927,0.015329927,3,0.005109976
investigation ,0.015107754,-0.015107754,4,-0.003776938
final ,0.014885581,0.014885581,1,0.014885581
from ,0.014663408,0.014663408,2,0.007331704
humanity ,0.01399689,0.01399689,1,0.01399689
has ,0.013330371,0.013330371,5,0.002666074
perhaps ,0.013330371,-0.013330371,4,-0.003332593
me ,0.013330371,0.013330371,2,0.006665186
been ,0.012663852,-0.012663852,3,-0.004221284
better ,0.01244168,-0.01244168,1,-0.01244168
an ,0.01244168,-0.01244168,1,-0.01244168
including ,0.011997334,0.011997334,1,0.011997334
? ,0.011997334,0.011997334,2,0.005998667
other ,0.011775161,0.011775161,1,0.011775161
murder ,0.011775161,-0.011775161,1,-0.011775161
different ,0.011330815,0.011330815,1,0.011330815
family ,0.01088647,0.01088647,1,0.01088647
like ,0.010664297,-0.010664297,2,-0.005332148
basically ,0.010664297,-0.010664297,1,-0.010664297
come ,0.010442124,0.010442124,1,0.010442124
up ,0.010442124,-0.010442124,1,-0.010442124
truth ,0.010442124,0.010442124,1,0.010442124
point ,0.010219951,-0.010219951,2,-0.005109976
last ,0.009997778,-0.009997778,1,-0.009997778
can ,0.009553433,0.009553433,1,0.009553433
played ,0.009553433,-0.009553433,1,-0.009553433
by ,0.00933126,0.00933126,3,0.00311042
stayed ,0.00933126,-0.00933126,2,-0.00466563
greatest ,0.00933126,-0.00933126,2,-0.00466563
screenplay ,0.008886914,-0.008886914,1,-0.008886914
possible ,0.008886914,-0.008886914,1,-0.008886914
given ,0.008886914,-0.008886914,1,-0.008886914
would ,0.008442568,-0.008442568,1,-0.008442568
people ,0.008220395,0.008220395,1,0.008220395
with ,0.007998223,0.007998223,3,0.002666074
behind ,0.007998223,0.007998223,1,0.007998223
visually ,0.00777605,0.00777605,1,0.00777605
visual ,0.00777605,0.00777605,1,0.00777605
again ,0.00777605,0.00777605,1,0.00777605
