Feature,abs(w*x),w*x,x,w
the ,0.146634081,0.146634081,15,0.009775605
to ,0.136858476,-0.136858476,11,-0.01244168
of ,0.092423906,0.092423906,8,0.011552988
world ,0.078649189,0.078649189,2,0.039324595
on ,0.077982671,-0.077982671,3,-0.025994224
is ,0.068873584,0.068873584,10,0.006887358
a ,0.055987558,-0.055987558,12,-0.00466563
seen ,0.04287936,0.04287936,1,0.04287936
some ,0.042212842,-0.042212842,2,-0.021106421
john ,0.035769829,-0.035769829,7,-0.005109976
have ,0.033992446,-0.033992446,1,-0.033992446
reason ,0.032881582,-0.032881582,2,-0.016440791
script ,0.032215063,-0.032215063,1,-0.032215063
more ,0.030659853,0.030659853,2,0.015329927
see ,0.027993779,0.027993779,1,0.027993779
though ,0.025549878,0.025549878,1,0.025549878
result ,0.024439014,-0.024439014,2,-0.012219507
but ,0.023994668,0.023994668,3,0.007998223
life ,0.023550322,0.023550322,1,0.023550322
4,0.023105976,-0.023105976,2,-0.011552988
good ,0.022439458,0.022439458,1,0.022439458
he ,0.021550766,0.021550766,1,0.021550766
and ,0.021328594,0.021328594,4,0.005332148
be ,0.021328594,-0.021328594,3,-0.007109531
poor ,0.020884248,-0.020884248,1,-0.020884248
things ,0.017551655,0.017551655,1,0.017551655
as ,0.0155521,0.0155521,1,0.0155521
middle ,0.014885581,-0.014885581,1,-0.014885581
movie ,0.014663408,-0.014663408,1,-0.014663408
hope ,0.014219062,-0.014219062,2,-0.007109531
at ,0.013774717,-0.013774717,1,-0.013774717
does ,0.013330371,0.013330371,2,0.006665186
an ,0.01244168,-0.01244168,1,-0.01244168
this ,0.011997334,-0.011997334,2,-0.005998667
family ,0.01088647,0.01088647,1,0.01088647
serious ,0.010664297,-0.010664297,1,-0.010664297
like ,0.010664297,-0.010664297,2,-0.005332148
one ,0.010219951,0.010219951,2,0.005109976
off ,0.010219951,-0.010219951,1,-0.010219951
sent ,0.009775605,-0.009775605,2,-0.004887803
must ,0.009775605,0.009775605,2,0.004887803
satire ,0.009553433,0.009553433,1,0.009553433
released ,0.009553433,0.009553433,1,0.009553433
worth ,0.00933126,0.00933126,1,0.00933126
apparently ,0.00933126,-0.00933126,1,-0.00933126
tv ,0.008886914,-0.008886914,1,-0.008886914
review ,0.008886914,-0.008886914,1,-0.008886914
it ,0.008664741,0.008664741,3,0.002888247
lot ,0.008442568,-0.008442568,1,-0.008442568
people ,0.008220395,0.008220395,1,0.008220395
minor ,0.008220395,0.008220395,1,0.008220395
film ,0.00777605,-0.00777605,1,-0.00777605
taking ,0.007553877,0.007553877,1,0.007553877
piece ,0.007553877,-0.007553877,1,-0.007553877
will ,0.007331704,0.007331704,1,0.007331704
from ,0.007331704,0.007331704,1,0.007331704
give ,0.007109531,-0.007109531,1,-0.007109531
saving ,0.006887358,0.006887358,1,0.006887358
for ,0.006665186,0.006665186,2,0.003332593
0,0.006665186,-0.006665186,1,-0.006665186
find ,0.006443013,0.006443013,1,0.006443013
there ,0.006443013,-0.006443013,1,-0.006443013
large ,0.00622084,0.00622084,1,0.00622084
by ,0.00622084,0.00622084,2,0.00311042
big ,0.00622084,-0.00622084,1,-0.00622084
compared ,0.005776494,0.005776494,1,0.005776494
evil ,0.005554321,0.005554321,1,0.005554321
fallen ,0.005332148,0.005332148,1,0.005332148
written ,0.005109976,-0.005109976,1,-0.005109976
somehow ,0.005109976,0.005109976,1,0.005109976
dramatic ,0.004887803,0.004887803,1,0.004887803
not ,0.004443457,0.004443457,1,0.004443457
surprisingly ,0.004443457,0.004443457,1,0.004443457
seeing ,0.004443457,0.004443457,1,0.004443457
look ,0.004443457,-0.004443457,1,-0.004443457
hardly ,0.004443457,0.004443457,1,0.004443457
friend ,0.004443457,0.004443457,1,0.004443457
unlikely ,0.004221284,-0.004221284,1,-0.004221284
small ,0.003999111,0.003999111,1,0.003999111
riding ,0.003999111,-0.003999111,1,-0.003999111
extraordinary ,0.003999111,0.003999111,1,0.003999111
little ,0.003776938,0.003776938,1,0.003776938
in ,0.003554766,0.003554766,8,0.000444346
count ,0.003554766,-0.003554766,1,-0.003554766
st ,0.003332593,0.003332593,1,0.003332593
gets ,0.003332593,-0.003332593,1,-0.003332593
wall ,0.00311042,0.00311042,1,0.00311042
short ,0.002888247,-0.002888247,1,-0.002888247
market ,0.002888247,0.002888247,1,0.002888247
canada ,0.002888247,0.002888247,1,0.002888247
has ,0.002666074,0.002666074,1,0.002666074
with ,0.002666074,0.002666074,1,0.002666074
theaters ,0.002666074,0.002666074,1,0.002666074
end ,0.002666074,-0.002666074,1,-0.002666074
holes ,0.002666074,-0.002666074,1,-0.002666074
toronto ,0.002443901,0.002443901,1,0.002443901
heaven ,0.002443901,0.002443901,1,0.002443901
street ,0.002443901,-0.002443901,1,-0.002443901
actions ,0.002443901,-0.002443901,1,-0.002443901
virtue ,0.002221729,-0.002221729,1,-0.002221729
sign ,0.002221729,-0.002221729,1,-0.002221729
visit ,0.001999556,0.001999556,1,0.001999556
diverting ,0.001999556,-0.001999556,1,-0.001999556
hospitality ,0.001777383,0.001777383,1,0.001777383
based ,0.001777383,0.001777383,1,0.001777383
part ,0.00155521,0.00155521,1,0.00155521
w ,0.00155521,0.00155521,1,0.00155521
grocery ,0.00155521,0.00155521,1,0.00155521
doyle ,0.00155521,-0.00155521,1,-0.00155521
truck ,0.001333037,-0.001333037,1,-0.001333037
eastern ,0.001333037,0.001333037,1,0.001333037
directed ,0.001333037,0.001333037,1,0.001333037
newfoundland ,0.001333037,-0.001333037,3,-0.000444346
baptist ,0.001333037,0.001333037,3,0.000444346
pope ,0.001110864,-0.001110864,1,-0.001110864
skit ,0.000888691,-0.000888691,1,-0.000888691
form ,0.000888691,-0.000888691,1,-0.000888691
capsule ,0.000888691,0.000888691,1,0.000888691
conspiracy ,0.000888691,-0.000888691,1,-0.000888691
cinema ,0.000888691,0.000888691,1,0.000888691
nun ,0.000666519,0.000666519,1,0.000666519
licks ,0.000666519,-0.000666519,1,-0.000666519
adopts ,0.000666519,0.000666519,1,0.000666519
invitation ,0.000666519,0.000666519,1,0.000666519
expects ,0.000666519,-0.000666519,1,-0.000666519
than ,0.000666519,0.000666519,1,0.000666519
that ,0.000444346,0.000444346,2,0.000222173
produce ,0.000444346,0.000444346,1,0.000444346
vatican ,0.000444346,-0.000444346,1,-0.000444346
tomato ,0.000444346,-0.000444346,1,-0.000444346
seems ,0.000444346,-0.000444346,1,-0.000444346
pope's ,0.000444346,-0.000444346,1,-0.000444346
watchable ,0.000444346,-0.000444346,1,-0.000444346
spoilers ,0.000444346,-0.000444346,1,-0.000444346
who ,0.000222173,-0.000222173,1,-0.000222173
planning ,0.000222173,0.000222173,1,0.000222173
goat ,0.000222173,-0.000222173,1,-0.000222173
live ,0.000222173,-0.000222173,1,-0.000222173
international ,1.31E-16,-1.31E-16,1,-1.31E-16
aid ,4.10E-17,4.10E-17,1,4.10E-17
militant ,3.20E-17,3.20E-17,1,3.20E-17
miracle ,9.87E-18,-9.87E-18,1,-9.87E-18
yucks ,0,0,1,0
praying ,0,0,1,0
pedicure ,0,0,1,0
mendes ,0,0,1,0
destabilize ,0,0,1,0
20minute ,0,0,1,0
